wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,cc,max_cc,sum_locp,max_locp,sum_locm,max_locm,max_set,avg_set,no_rev,sum_chrn,max_chrn,age,countofdeveloper,ref,bug
3,1,0,6,3,3,6,0,3,2,3,0,0,0,0.833333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,197.14,0,0,FALSE
6,0,1,7,35,0,2,6,6,0.533333333,192,1,3,0,0.625,0,0,30.5,1,1,0,0,0,0,0,0,0,0,0,130.85,0,0,FALSE
10,0,0,8,46,43,1,7,6,0.888888889,296,0,0,0,0.361111111,0,0,28.4,1.1,2,2,2,25,25,7,7,1,27,27,2.28,1,0,FALSE
6,0,0,6,13,13,0,6,6,0.8,42,1,0,0,0.375,0,0,5.833333333,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
25,1,0,9,58,0,2,8,21,0.597222222,514,0.666666667,2,0,0.2,0,0,19.44,1.52,4,27,25,23,16,14,7.5,2,50,41,16.85,1,0,TRUE
2,0,0,1,3,1,0,1,2,2,10,0,0,0,1,0,0,4,1.5,2,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
4,1,0,5,8,0,1,4,2,0.222222222,73,0,1,0,0.5,0,0,16.5,1,1,0,0,0,0,0,0,0,0,0,225.28,0,0,FALSE
3,1,0,6,20,1,4,2,2,0.5,137,1,0,0,0.5,0,0,44,1,1,0,0,0,0,0,0,0,0,0,190,0,0,FALSE
9,0,0,2,16,0,1,1,9,0.625,93,0,0,0,0.444444444,0,0,8.888888889,1,1,0,0,0,0,0,0,0,0,0,197,0,0,FALSE
4,0,0,5,5,4,3,2,2,1,31,0.25,0,0,0.333333333,0,0,5.75,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
2,1,0,2,6,1,0,2,2,2,23,0,0,0,0.5,0,0,9.5,1,1,0,0,0,0,0,0,0,0,0,236,0,0,FALSE
2,0,1,5,4,1,1,4,2,2,8,0,0,0,0.666666667,0,0,3,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
5,0,1,4,25,10,1,3,5,0.75,146,0,0,0,0.45,0,0,28,1,1,0,0,0,0,0,0,0,0,0,237.57,0,0,FALSE
1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,116.28,0,0,FALSE
14,1,0,2,17,67,1,1,13,0.41025641,157,1,0,0,0.196428571,0,0,9.785714286,1.071428571,2,0,0,0,0,0,0,0,0,0,194.57,0,0,FALSE
12,1,0,28,12,66,24,4,12,2,12,0,0,0,0.333333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
137,1,11,11,139,9316,11,0,137,2,829,0,0,0,0.094890511,0,0,5.051094891,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
31,1,2,43,85,439,24,24,21,0.938095238,549,0.857142857,3,0,0.180555556,0,0,16.48387097,1.387096774,5,0,0,0,0,0,0,0,0,0,246.71,0,0,FALSE
16,1,4,20,45,112,4,16,11,0.988888889,380,0.5,2,0,0.371428571,0,0,22.375,1.3125,2,268,201,30,19,7,4,3,298,220,9.71,1,0,TRUE
13,1,0,50,13,78,31,20,13,1.083333333,14,0,0,0,0.188034188,0,0,0,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
1,0,0,6,2,0,2,4,0,2,18,0,0,0,1,0,0,17,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
11,4,0,22,25,53,18,5,11,0.9,229,1,0,0.882352941,0.303030303,0,0,19.72727273,2.545454545,5,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
7,0,0,3,28,15,0,3,5,0.75,663,0.5,0,0,0.416666667,0,0,93.42857143,1,1,0,0,0,0,0,0,0,0,0,219.28,0,0,FALSE
35,0,0,6,91,399,0,6,9,0.905882353,2059,1,0,0,0.202205882,0,0,57.25714286,1.457142857,12,17,17,0,0,2,2,1,17,17,22,1,0,FALSE
4,1,0,2,12,4,0,2,3,1,37,1,0,0,0.333333333,0,0,7.75,1.25,2,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
5,1,0,13,24,10,1,12,3,2,115,0,0,0,0.4,0,0,22,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
6,1,0,7,13,0,7,0,6,1.066666667,61,0.166666667,0,0,0.333333333,0,0,7.166666667,1.166666667,2,0,0,0,0,0,0,0,0,0,114.71,0,0,FALSE
2,0,0,1,13,1,0,1,2,2,71,0,0,0,0.75,0,0,34.5,1,1,0,0,0,0,0,0,0,0,0,196.28,0,0,FALSE
47,1,0,19,110,1007,8,13,24,0.871237458,1087,1,4,0,0.166666667,0,0,21.85106383,1.957446809,17,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
111,1,2,46,199,5855,3,43,94,0.97960688,1290,1,14,0,0.054208754,0,0,10.28828829,1.18018018,7,64,22,13,11,49,13.83,6,77,25,16.85,4,1,TRUE
18,0,0,8,50,153,1,7,11,1,333,0,0,0,0.291666667,0,0,17.44444444,1.055555556,2,0,0,0,0,0,0,0,0,0,165,0,0,FALSE
21,0,0,19,71,170,14,9,13,0.896153846,674,0.923076923,2,0,0.144444444,0,0,30.47619048,1.19047619,3,0,0,0,0,0,0,0,0,0,195.85,0,0,FALSE
2,1,0,3,20,1,0,3,2,2,111,0,0,0,0.5,0,0,54.5,1,1,0,0,0,0,0,0,0,0,0,239.28,0,0,FALSE
15,1,0,29,15,105,22,7,15,2,15,0,0,0,0.177777778,0,0,0,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
2,1,0,2,3,1,2,0,0,1.885057471,852,0,0,0,1,0,0,381.5,1,1,0,0,0,0,0,0,0,0,0,230.14,0,0,FALSE
2,1,0,9,2,1,9,0,2,2,2,0,0,0,0.75,0,0,0,1,1,8,8,0,0,10,10,1,8,8,10.85,1,0,FALSE
8,0,0,1,24,28,0,1,8,2,198,0,0,0,0.375,0,0,23.75,2.875,15,0,0,0,0,0,0,0,0,0,231.14,0,0,FALSE
8,0,0,1,24,28,0,1,8,2,198,0,0,0,0.375,0,0,23.75,2.875,15,0,0,0,0,0,0,0,0,0,197.14,0,0,FALSE
8,0,0,1,24,28,0,1,8,2,198,0,0,0,0.375,0,0,23.75,2.875,15,0,0,0,0,0,0,0,0,0,136.57,0,0,FALSE
8,0,0,4,25,0,1,3,6,0.523809524,113,1,0,0,0.5,0,0,12.75,1,1,0,0,0,0,0,0,0,0,0,214.14,0,0,FALSE
8,0,0,1,24,28,0,1,8,2,198,0,0,0,0.375,0,0,23.75,2.875,15,0,0,0,0,0,0,0,0,0,197.14,0,0,FALSE
12,1,0,21,34,60,0,21,12,1,162,1,1,0,0.180555556,0,0,12.25,1.083333333,2,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
4,0,4,8,33,0,4,4,1,0.481481481,243,0.111111111,1,0,0.555555556,0,0,57.5,1,1,0,0,0,0,0,0,0,0,0,115.71,0,0,FALSE
6,1,0,9,7,1,9,0,0,1.054545455,78,0.272727273,0,0,0.6,0,0,10.16666667,1.333333333,2,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
3,0,0,3,8,3,1,2,3,2,29,0,0,0,0.533333333,0,0,8.666666667,1,1,0,0,0,0,0,0,0,0,0,214.14,0,0,FALSE
3,0,0,2,5,3,1,1,3,2,12,0,0,0,0.666666667,0,0,3,1,1,0,0,0,0,0,0,0,0,0,161.85,0,0,FALSE
2,1,1,4,4,1,4,0,2,2,9,0,0,0,0.75,0,0,3.5,1,1,0,0,0,0,0,0,0,0,0,115.14,0,0,FALSE
2,0,0,5,9,0,1,5,1,0,33,1,0,0,0.625,0,0,15,1,1,0,0,0,0,0,0,0,0,0,175.71,0,0,FALSE
2,1,0,14,2,1,13,1,2,2,2,0,0,0,0.666666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
20,0,0,7,65,74,1,6,16,0.859649123,824,1,0,0,0.210526316,0,0,40.05,2.05,8,0,0,0,0,0,0,0,0,0,228.42,0,0,FALSE
7,1,0,7,17,1,4,3,7,0.333333333,85,1,0,0,0.314285714,0,0,10.85714286,1.142857143,2,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
22,1,0,12,58,119,1,12,11,0.796190476,995,0.8,8,0,0.318181818,0,0,43.09090909,1.227272727,5,0,0,0,0,0,0,0,0,0,249.28,0,0,FALSE
9,1,0,21,9,36,16,5,9,1.125,12,0,0,0,0.314814815,0,0,0,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
3,0,0,2,4,0,1,1,2,0,17,0,0,0,0.666666667,0,0,4.333333333,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
14,0,1,19,32,0,7,14,9,0.846153846,317,0.666666667,4,0,0.258928571,0,0,21.21428571,1.5,6,0,0,0,0,0,0,0,0,0,222.28,0,0,FALSE
18,0,1,16,76,151,2,14,10,0.705882353,3531,1,0,0,0.258823529,0,0,195.1111111,1.388888889,8,105,86,19,18,8,4.5,2,124,104,7.14,1,0,TRUE
18,0,0,16,76,87,0,16,2,0.968858131,1449,0.176470588,4,0,0.294117647,0,0,78.55555556,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
32,0,3,35,125,230,9,26,17,0.900293255,1416,0.454545455,3,0,0.119140625,0,0,42.90625,1.21875,5,25,15,8,7,15,8.6,5,33,15,24.71,1,0,FALSE
25,1,2,14,46,242,6,8,9,0.958333333,376,0.5,2,0,0.166666667,0,0,13.4,1.16,4,0,0,0,0,0,0,0,0,0,226.28,0,0,FALSE
18,0,0,53,157,121,2,52,11,0.91503268,1143,0.333333333,5,0,0.153846154,0,0,62,1.277777778,5,209,95,60,34,13,7.33,3,269,129,25,2,0,TRUE
5,1,0,3,26,6,0,3,3,0.583333333,156,0,0,0,0.25,0,0,29.6,1,1,0,0,0,0,0,0,0,0,0,172.14,0,0,FALSE
12,3,0,17,8,0,17,0,9,0,126,1,0,0.966666667,0.583333333,1,1,9.416666667,1.5,2,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
6,1,5,8,16,13,5,3,4,1.05,102,0.5,1,0,0.333333333,0,0,14.66666667,1.333333333,2,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
4,1,0,2,4,6,1,1,4,2,4,0,0,0,0.625,0,0,0,1,1,0,0,0,0,0,0,0,0,0,114.71,0,0,FALSE
13,1,0,25,13,78,19,7,13,2,13,0,0,0,0.307692308,0,0,0,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
12,1,0,9,20,0,5,4,11,0,247,1,1,0,0.366666667,0,0,19.5,1.583333333,3,1,1,3,2,49,29.5,2,4,2,16.71,1,1,FALSE
11,0,0,21,63,0,0,21,9,0.5,323,0.5,1,0,0.204545455,0,0,28.18181818,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
35,0,0,10,135,565,1,9,11,0.911764706,2374,0.5,0,0,0.181818182,0,0,66.77142857,1.514285714,9,130,89,7,4,13,5,3,137,90,3,2,0,TRUE
6,0,2,6,12,3,2,4,5,0.4,41,1,1,0,0.333333333,0,0,5.666666667,1,1,5,5,7,7,8,8,1,12,12,18.28,1,0,TRUE
4,0,8,17,9,6,9,9,3,2,23,0,0,0,0.55,0,0,4.75,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
6,2,0,2,21,0,1,1,4,0.533333333,150,1,1,0.642857143,0.666666667,1,1,23,1,1,0,0,0,0,0,0,0,0,0,210.28,0,0,FALSE
14,1,1,4,57,0,2,2,11,0.5,852,0,1,0,0.4,0,0,59.57142857,1,1,0,0,0,0,0,0,0,0,0,174,0,0,FALSE
4,1,0,7,14,0,7,0,3,0.833333333,63,0,0,0,0.833333333,0,0,13.75,1,1,0,0,0,0,0,0,0,0,0,172.14,0,0,FALSE
5,0,0,3,8,0,1,2,2,0.25,43,1,0,0,0.4,0,0,7.4,1.4,3,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
39,1,0,16,44,739,0,16,39,0.973684211,137,1,0,0,0.118589744,0,0,2.487179487,1.051282051,2,0,0,0,0,0,0,0,0,0,238.85,0,0,FALSE
6,1,0,3,12,0,1,3,5,0.2,32,1,1,0,0.444444444,0,0,4.166666667,1,1,0,0,0,0,0,0,0,0,0,117.85,0,0,FALSE
14,1,0,38,14,91,32,6,14,2,14,0,0,0,0.459183673,0,0,0,1,1,6,6,0,0,8,8,1,6,6,10,1,0,FALSE
8,1,2,14,26,14,3,11,1,0.825396825,250,1,7,0,0.296875,0,0,29.125,1.375,3,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
7,0,0,13,30,0,2,11,6,0.166666667,273,1,1,0,0.349206349,0,0,37.85714286,1.285714286,3,68,60,29,21,38,23.5,2,97,81,18.14,2,0,TRUE
14,0,0,27,28,91,0,27,11,2,115,0,0,0,0.239795918,0,0,7.214285714,1,1,0,0,0,0,0,0,0,0,0,234.85,0,0,FALSE
11,1,0,2,20,31,2,0,9,0.78,143,1,1,0,0.32,0,0,11.54545455,1.454545455,4,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
7,0,1,3,18,11,2,1,5,0.866666667,102,0.6,0,0,0.321428571,0,0,12.85714286,1.142857143,2,0,0,0,0,0,0,0,0,0,149.14,0,0,FALSE
3,1,0,7,11,3,6,3,2,1,33,0,1,0,0.5,0,0,9.666666667,1,1,0,0,0,0,0,0,0,0,0,172.14,0,0,FALSE
12,0,0,8,82,64,2,8,8,0.909090909,816,0.5,0,0,0.270833333,0,0,66.66666667,1.333333333,4,0,0,0,0,0,0,0,0,0,160,0,0,FALSE
4,0,0,4,15,0,1,3,4,0.333333333,229,0,1,0,0.428571429,0,0,56,3.5,7,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
15,1,0,3,30,5,2,1,12,0.404761905,233,1,1,0,0.255555556,0,0,14.33333333,1,1,0,0,0,0,0,0,0,0,0,170.28,0,0,FALSE
4,1,2,2,11,0,2,0,4,0.333333333,209,1,0,0,0.625,1,1,50.5,4.25,7,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
19,1,0,25,88,49,1,25,5,0.62962963,576,0.666666667,1,0,0.187969925,0,0,29.15789474,1.631578947,11,6,4,2,2,8,5,2,8,6,0.71,2,0,TRUE
2,1,0,2,21,1,1,2,2,2,61,0,0,0,0.5,0,0,29.5,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
14,1,0,64,26,51,59,7,14,0.423076923,174,1,0,0,0.205357143,1,1,11.28571429,1.571428571,5,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
4,1,0,6,4,6,3,3,4,1.333333333,9,0,0,0,0.4375,0,0,0,1,1,0,0,0,0,0,0,0,0,0,114.71,0,0,FALSE
4,1,0,2,43,4,0,2,2,0.666666667,699,1,0,0,0.333333333,0,0,171.75,6.25,18,0,0,0,0,0,0,0,0,0,234,0,0,FALSE
2,0,0,1,3,1,0,1,1,2,7,0,0,0,1,0,0,2.5,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
6,0,0,4,19,3,1,3,6,0.466666667,154,0,1,0,0.361111111,0,0,24.16666667,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
8,0,1,17,16,28,3,14,5,2,67,0,0,0,0.318181818,0,0,7.375,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
4,0,0,5,17,6,1,4,3,1,1726,0,0,0,0.5,0,0,430.25,1.25,2,0,0,0,0,0,0,0,0,0,119.14,0,0,FALSE
1,1,0,2,1,0,2,0,0,2,1890,0,0,0,0,0,0,1888,1,1,3,3,0,0,13,13,1,3,3,25.71,1,0,FALSE
2,1,0,1,9,1,0,1,2,2,29,0,0,0,0.5,0,0,13.5,1,1,0,0,0,0,0,0,0,0,0,197,0,0,FALSE
8,1,1,4,18,28,3,1,3,1.010989011,77,1,1,0,0.291666667,0,0,7,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
4,1,0,13,13,0,13,0,3,0,215,1,0,0,0.4,1,1,51,4.25,11,0,0,0,0,0,0,0,0,0,120.14,0,0,FALSE
3,1,0,2,11,1,1,1,3,0.5,38,1,0,0,0.666666667,0,0,11,1,1,3,3,0,0,10,10,1,3,3,10.85,1,0,FALSE
4,1,0,0,12,6,0,0,2,2,86,0,0,0,0.333333333,0,0,20.5,1.5,3,0,0,0,0,0,0,0,0,0,197.14,0,0,FALSE
9,0,0,20,22,16,11,10,7,0.6875,148,0,2,0,0.311111111,0,0,15,1.333333333,4,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
5,0,0,4,19,8,0,4,4,0.75,107,0,0,0,0.4,0,0,20.2,1,1,0,0,0,0,0,0,0,0,0,115.71,0,0,FALSE
2,0,0,10,10,1,1,9,0,2,41,0,0,0,0.571428571,0,0,19.5,1,1,1,1,1,1,28,28,1,2,2,2.28,1,0,TRUE
15,0,0,8,75,85,1,7,11,0.904761905,1056,0.333333333,0,0,0.222222222,0,0,69.2,1.2,4,150,150,18,18,6,6,1,168,168,12.71,1,0,TRUE
4,0,0,5,19,4,0,5,3,0.833333333,101,0.5,0,0,0.4375,0,0,23.75,2.25,6,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
15,1,0,9,15,105,8,1,15,2,15,0,0,0,0.207407407,0,0,0,1,1,0,0,0,0,0,0,0,0,0,245.14,0,0,FALSE
2,1,0,4,5,0,1,3,2,0,21,1,1,0,0.666666667,0,0,9,1.5,2,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
35,0,0,22,81,293,9,15,15,0.933333333,628,0.866666667,1,0,0.169117647,0,0,16.51428571,1.285714286,5,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
23,1,0,49,23,253,48,1,23,1.045454545,26,0,0,0,0.282608696,0,0,0,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
2,1,0,6,2,1,3,3,2,2,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
8,0,0,9,15,28,0,9,6,2,64,0,0,0,0.329545455,0,0,7,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
4,1,0,2,29,4,0,2,2,0.666666667,226,1,0,0,0.333333333,0,0,55.25,2,4,0,0,0,0,0,0,0,0,0,229.85,0,0,FALSE
14,1,0,18,43,49,4,16,7,0.721893491,497,1,6,0,0.232142857,0,0,33.57142857,1.214285714,4,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
7,1,0,2,8,9,2,0,0,0.833333333,52,0,0,0,0.314285714,0,0,5.571428571,1,1,0,0,0,0,0,0,0,0,0,197.14,0,0,FALSE
1,0,0,3,2,0,1,2,1,2,9,0,0,0,1,0,0,8,1,1,0,0,0,0,0,0,0,0,0,197.14,0,0,FALSE
2,0,0,4,6,1,0,4,1,2,16,0,0,0,0.5,0,0,7,1,1,0,0,0,0,0,0,0,0,0,180.57,0,0,FALSE
35,2,1,66,40,595,51,16,32,1,83,0.2,1,0.214285714,0.103921569,1,1,1.228571429,1.057142857,2,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
9,1,0,6,15,12,2,4,9,0.625,89,0,2,0,0.259259259,0,0,8.555555556,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
32,1,0,8,53,384,7,1,12,1.015846067,637,0.01754386,0,0,0.505376344,0,0,17.125,1.53125,9,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
12,1,0,9,25,12,3,6,12,0.818181818,203,1,0,0,0.166666667,0,0,15.08333333,1.166666667,2,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
12,0,0,18,37,22,1,17,11,0.636363636,216,1,1,0,0.243055556,0,0,16.75,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
6,1,0,4,21,0,1,3,1,0.466666667,139,1,1,0,0.333333333,0,0,21.66666667,1.5,2,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
18,2,0,20,21,0,19,1,15,0.552941176,312,1,0,0.277777778,0.341176471,1,1,16.05555556,1.722222222,6,219,213,219,213,33,20,2,438,219,17.71,1,0,TRUE
9,0,0,25,45,16,0,25,8,0.875,208,0,0,0,0.194444444,0,0,22,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
16,1,0,44,16,120,37,7,16,2,16,0,0,0,0.296875,0,0,0,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
5,0,0,2,6,8,1,1,4,0.75,20,0,0,0,0.6,0,0,2.8,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
4,1,0,20,4,6,19,2,4,2,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
4,1,0,10,12,4,2,8,4,0.666666667,40,1,0,0,0.4375,0,0,8.75,1.25,2,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
12,1,0,3,40,66,0,3,10,2,2117,0,0,0,0.2,0,0,175.4166667,1.083333333,2,0,0,0,0,0,0,0,0,0,197,0,0,FALSE
3,0,0,12,16,0,2,10,3,0,82,1,1,0,0.5,0,0,26,1,1,23,21,104,102,38,31.5,2,127,123,21.71,2,0,FALSE
6,4,0,25,18,15,23,2,6,2,99,0,0,0.9375,0.433333333,1,1,15.5,1.5,2,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
8,4,0,8,21,28,5,3,8,2,251,0,0,0.914634146,0.4,0,0,30.375,2.5,5,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
23,0,2,32,104,55,8,24,14,0.877470356,1386,0.760869565,15,0,0.130434783,0,0,57.26086957,1.652173913,10,10,9,2,1,49,25,2,12,10,14.85,2,1,FALSE
58,0,0,94,271,1431,63,49,34,0.910526316,4453,0.9,0,0,0.095785441,0,0,75.60344828,2.362068966,13,26,16,8,5,6,3.33,3,34,21,23.71,2,0,TRUE
5,0,3,11,16,0,3,8,3,0.833333333,91,0.166666667,4,0,0.466666667,0,0,16,1,1,12,12,0,0,28,28,1,12,12,2.28,1,0,TRUE
2,0,0,2,5,1,0,2,2,2,12,0,0,0,0.5,0,0,5,1,1,0,0,0,0,0,0,0,0,0,174.71,0,0,FALSE
16,1,0,5,34,2,1,4,11,0.613333333,454,0,2,0,0.4125,0,0,27.0625,2.625,9,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
1,1,0,34,1,0,30,5,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
61,1,0,35,148,1688,13,24,61,0.8875,2139,0.25,3,0,0.159380692,0,0,34,1.049180328,4,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
9,1,0,8,13,6,6,2,9,0.25,70,1,0,0,0.259259259,0,0,6.666666667,1.222222222,3,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
51,0,0,7,162,1275,0,7,43,1,6330,0,0,0,0.101715686,0,0,123.0980392,1.274509804,6,0,0,0,0,0,0,0,0,0,163.14,0,0,FALSE
